AÑO,TRIMESTRE,ENT_CODE,MUN_CODE,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE
2015,2,1,14,45,9,36,0,20.0,80.0,0.0
2015,2,10,26,44,14,30,0,31.818181818181817,68.18181818181817,0.0
2015,2,11,5,76,14,62,0,18.421052631578945,81.57894736842105,0.0
2015,2,12,13,46,0,46,0,0.0,100.0,0.0
2015,2,13,43,42,32,10,0,76.19047619047619,23.809523809523807,0.0
2015,2,14,2,229,64,165,0,27.947598253275107,72.0524017467249,0.0
2015,2,15,1,115,18,97,0,15.65217391304348,84.34782608695653,0.0
2015,2,15,16,41,0,41,0,0.0,100.0,0.0
2015,2,16,15,41,12,29,0,29.268292682926827,70.73170731707317,0.0
2015,2,17,29,38,2,36,0,5.263157894736842,94.73684210526315,0.0
2015,2,18,27,44,27,17,0,61.36363636363637,38.63636363636363,0.0
2015,2,19,3,229,107,122,0,46.724890829694324,53.275109170305676,0.0
2015,2,2,21,40,8,32,0,20.0,80.0,0.0
2015,2,20,31,46,4,42,0,8.695652173913043,91.30434782608695,0.0
2015,2,21,4,55,27,28,0,49.09090909090909,50.90909090909091,0.0
2015,2,22,36,43,15,28,0,34.883720930232556,65.11627906976744,0.0
2015,2,23,41,40,10,30,0,25.0,75.0,0.0
2015,2,24,7,39,14,25,0,35.8974358974359,64.1025641025641,0.0
2015,2,25,24,42,9,33,0,21.428571428571427,78.57142857142857,0.0
2015,2,26,25,43,18,25,0,41.86046511627907,58.139534883720934,0.0
2015,2,27,18,37,2,35,0,5.405405405405405,94.5945945945946,0.0
2015,2,28,10,37,13,24,0,35.13513513513514,64.86486486486487,0.0
2015,2,29,39,35,12,23,0,34.285714285714285,65.71428571428571,0.0
2015,2,3,40,37,4,33,0,10.81081081081081,89.1891891891892,0.0
2015,2,30,12,42,2,40,0,4.761904761904762,95.23809523809523,0.0
2015,2,31,8,41,30,11,0,73.17073170731707,26.82926829268293,0.0
2015,2,32,32,40,14,26,0,35.0,65.0,0.0
2015,2,4,28,37,22,15,0,59.45945945945946,40.54054054054054,0.0
2015,2,5,17,53,24,29,0,45.28301886792453,54.71698113207547,0.0
2015,2,6,33,48,15,33,0,31.25,68.75,0.0
2015,2,7,19,41,13,28,0,31.70731707317073,68.29268292682927,0.0
2015,2,8,9,40,13,25,2,32.5,62.5,5.0
2015,2,9,1,233,66,167,0,28.32618025751073,71.67381974248927,0.0
